,group,SMILES,Tipo
30,C,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,FP
31,C,CC(=O)OCC(=O)C1(O)C(O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,FP
32,C,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,FP
33,C,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,FP
34,C,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,FP
35,C,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,FP
36,C,COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C,FP
37,C,C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,FP
38,C,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,FP
39,C,Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,FP
40,C,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,FP
41,C,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,FP
42,C,CC[N+](C)(C)c1cccc(O)c1,FP
43,C,CCc1ccc(C(C)CCc2ccc([N+](C)(C)C)cc2)cc1,FP
44,C,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,FP
45,C,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,FP
46,C,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,FP
47,C,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,FP
48,C,CC1=CC(=O)c2ccccc2C1=O,FP
49,C,CC1CCC(C(C)C)C(O)C1,FP
50,C,CC1OC2(CS1)CN1CCC2CC1,FP
51,C,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,FP
52,C,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,FP
53,C,CCOc1ccc(CC2=NCCc3cc(OCC)c(OCC)cc32)cc1OCC,FP
54,C,CNC1(C)C2CCC(C2)C1(C)C,FP
55,C,CSc1nc2cc(Oc3cccc(Cl)c3Cl)c(Cl)cc2[nH]1,FP
56,C,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,FP
57,C,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,FP
58,C,NC1CCCCC1N,FP
59,C,NCCc1ccn[nH]1,FP
60,C,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,FP
61,C,O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,FP
62,C,CC(C)(C)NC(=O)[C@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@@H]1O,FP
63,C,CC[C@@]12C=CCN3CC[C@@]4(c5cc([C@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@@](O)(CC)C7)c(OC)cc5N(C)[C@H]4[C@](O)(C(=O)OC)[C@H]1OC(C)=O)[C@H]32,FP
64,C,CC(C)(C)NC(=O)[C@H]1CN(Cc2cccnc2)CCN1C[C@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@@H]1O,FP
65,C,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,FP
66,D,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,FP
67,D,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,FP
68,D,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,FP
69,D,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,FP
70,D,Cn1cc[nH]c1=S,FP
